Gas,"NFR/CRF Group",Source,Activity,Units,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon Dioxide as Carbon",1A2gviii,"Other industrial combustion","Petroleum coke",kilotonne,77.8555432523448,31.2410636959351,93.6056879792103,130.093007581305,118.441344826176,25.4527981288417,17.4206677423683,21.1628466055362,32.4552272408816,26.9575119044142,26.3769502130408,27.6140619743682,24.6121229070901
"Carbon Dioxide as Carbon",1A2gviii,"Other industrial combustion",Lubricants,kilotonne,144.077583064284,122.03373060452,102.522057845663,108.791301424275,108.45167878348,102.128680540815,101.547834765062,103.210624567956,92.0505551704657,89.3504813255053,73.1031303467739,73.2562846036856,69.3557443712161
"Carbon Dioxide as Carbon",1A2gviii,"Other industrial combustion","Waste solvent",kilotonne,20.0196724363636,18.1930275307853,18.042503096728,17.1876957736364,16.57360569,15.5392754482943,8.62487712545452,10.4957828181819,11.7157985454545,10.5997405418182,9.67091774181818,12.4077469209948,12.0973852919086
"Carbon Dioxide as Carbon",1A2gviii,Autogenerators,"Natural gas",kilotonne,670.765750885388,644.90135347514,643.674908815227,631.78375304305,569.553835629662,523.249278127817,549.281761594351,634.212321923986,653.179617786199,633.585053820111,566.335882337639,553.136223520442,473.315413881944
"Carbon Dioxide as Carbon",1A2gviii,"Autogeneration - exported to grid","Natural gas",kilotonne,525.264588003283,505.518840761966,548.436869132184,439.581007387367,387.166465737684,419.153991432076,430.75119462855,464.93538672795,475.205027331126,504.545264869161,440.03135713671,470.913786090178,465.033871484906
"Carbon Dioxide as Carbon",1A2gviii,"Other industrial combustion",Coke,kilotonne,-,-,-,7.751959704071,8.46597572962145,-,-,-,-,-,-,-,-
"Carbon Dioxide as Carbon",1A3a,"Aircraft - domestic take off and landing","Aviation spirit",kilotonne,15.8826522378596,15.6218832585319,13.1631309237937,11.5055581898102,13.6955474846427,8.69038287200583,9.38575301557399,9.41754275974918,8.42443058584665,6.33507647987345,1.49618983564496,9.17895326082848,10.9219037971442
"Carbon Dioxide as Carbon",1A3a,"Aircraft - domestic take off and landing","Aviation turbine fuel",kilotonne,132.809549786389,125.630705740124,119.216999058246,123.258252659976,112.91771231219,114.931431107205,107.558007868196,115.884490173329,109.018861033182,103.695239178334,42.4059351145362,52.7672803578026,86.4669017521559
"Carbon Dioxide as Carbon",1A3a,"Aircraft - domestic cruise","Aviation spirit",kilotonne,0.0444463070950253,0.0591306859891405,0.0760786559884846,0.071517434096105,0.0494173950848104,0.0485714502681906,0.0598080267871373,0.0953923039234231,0.0792289352933147,0.0539842871003145,0.0425230823660413,0.040857869209528,0.0375687584011532
"Carbon Dioxide as Carbon",1A3a,"Aircraft - domestic cruise","Aviation turbine fuel",kilotonne,341.786754886723,326.84195653197,312.593282072069,318.901682394565,292.408141044654,299.239553474832,276.604102356537,296.007696489567,278.045878319024,265.518005951523,109.097116926413,136.379257113312,202.248227544789
